level,cell_type,number_of_cells,ds
Level_1,Neuronal: GABAergic,44401,3_Gabitto_MTG_Human_2023
Level_1,Neuronal: Glutamatergic,91006,3_Gabitto_MTG_Human_2023
Level_1,Non-neuronal and Non-neural,15018,3_Gabitto_MTG_Human_2023
Level_1,unknown,13628,3_Gabitto_MTG_Human_2023
Level_2,Pax6,694,3_Gabitto_MTG_Human_2023
Level_2,L5/6 NP,3170,3_Gabitto_MTG_Human_2023
Level_2,L5 IT,19738,3_Gabitto_MTG_Human_2023
Level_2,L6 CT,2762,3_Gabitto_MTG_Human_2023
Level_2,L4 IT,16935,3_Gabitto_MTG_Human_2023
Level_2,Astrocyte,2764,3_Gabitto_MTG_Human_2023
Level_2,L2/3 IT,29116,3_Gabitto_MTG_Human_2023
Level_2,Vip,9320,3_Gabitto_MTG_Human_2023
Level_2,Sst Chodl,160,3_Gabitto_MTG_Human_2023
Level_2,L6 IT Car3,4579,3_Gabitto_MTG_Human_2023
Level_2,L6 IT,6077,3_Gabitto_MTG_Human_2023
Level_2,Sncg,1701,3_Gabitto_MTG_Human_2023
Level_2,Pvalb,10997,3_Gabitto_MTG_Human_2023
Level_2,Oligodendrocyte,7570,3_Gabitto_MTG_Human_2023
Level_2,Lamp5 Lhx6,2207,3_Gabitto_MTG_Human_2023
Level_2,Sst,12632,3_Gabitto_MTG_Human_2023
Level_2,VLMC,268,3_Gabitto_MTG_Human_2023
Level_2,Lamp5,3378,3_Gabitto_MTG_Human_2023
Level_2,Microglia-PVM,1186,3_Gabitto_MTG_Human_2023
Level_2,OPC,2160,3_Gabitto_MTG_Human_2023
Level_2,L6b,3027,3_Gabitto_MTG_Human_2023
Level_2,Endothelial,162,3_Gabitto_MTG_Human_2023
Level_2,L5 ET,372,3_Gabitto_MTG_Human_2023
Level_2,Chandelier,696,3_Gabitto_MTG_Human_2023
Level_2,unknown,22382,3_Gabitto_MTG_Human_2023
Level_3,Pax6_1,391,3_Gabitto_MTG_Human_2023
Level_3,L5/6 NP_1,1489,3_Gabitto_MTG_Human_2023
Level_3,L5 IT_7,3210,3_Gabitto_MTG_Human_2023
Level_3,L6 CT_2,1793,3_Gabitto_MTG_Human_2023
Level_3,L4 IT_2,12683,3_Gabitto_MTG_Human_2023
Level_3,Astro_1,87,3_Gabitto_MTG_Human_2023
Level_3,L5 IT_2,7696,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_5,3300,3_Gabitto_MTG_Human_2023
Level_3,Vip_9,445,3_Gabitto_MTG_Human_2023
Level_3,L6 CT_1,671,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_1,9488,3_Gabitto_MTG_Human_2023
Level_3,L5 IT_1,1837,3_Gabitto_MTG_Human_2023
Level_3,Sst Chodl_1,79,3_Gabitto_MTG_Human_2023
Level_3,L6 IT Car3_1,832,3_Gabitto_MTG_Human_2023
Level_3,L6 IT_2,5043,3_Gabitto_MTG_Human_2023
Level_3,Astro_2,2123,3_Gabitto_MTG_Human_2023
Level_3,Sncg_4,366,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_13,341,3_Gabitto_MTG_Human_2023
Level_3,L4 IT_3,523,3_Gabitto_MTG_Human_2023
Level_3,Vip_1,1050,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_13,3669,3_Gabitto_MTG_Human_2023
Level_3,Oligo_4,2588,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_6,5660,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_10,2692,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_15,4399,3_Gabitto_MTG_Human_2023
Level_3,Sst_19,1742,3_Gabitto_MTG_Human_2023
Level_3,Vip_19,1081,3_Gabitto_MTG_Human_2023
Level_3,Sst_22,234,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_8,878,3_Gabitto_MTG_Human_2023
Level_3,Sst_9,885,3_Gabitto_MTG_Human_2023
Level_3,Vip_15,625,3_Gabitto_MTG_Human_2023
Level_3,Sncg_1,334,3_Gabitto_MTG_Human_2023
Level_3,VLMC_1,80,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_12,1350,3_Gabitto_MTG_Human_2023
Level_3,L4 IT_1,1830,3_Gabitto_MTG_Human_2023
Level_3,Vip_18,382,3_Gabitto_MTG_Human_2023
Level_3,L5 IT_5,3509,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_3,1014,3_Gabitto_MTG_Human_2023
Level_3,Oligo_1,913,3_Gabitto_MTG_Human_2023
Level_3,L6 IT Car3_2,1252,3_Gabitto_MTG_Human_2023
Level_3,Vip_4,1253,3_Gabitto_MTG_Human_2023
Level_3,Lamp5_5,510,3_Gabitto_MTG_Human_2023
Level_3,Micro-PVM_2,1022,3_Gabitto_MTG_Human_2023
Level_3,OPC_2,2004,3_Gabitto_MTG_Human_2023
Level_3,L4 IT_4,1772,3_Gabitto_MTG_Human_2023
Level_3,Lamp5_3,447,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_6,326,3_Gabitto_MTG_Human_2023
Level_3,Vip_11,783,3_Gabitto_MTG_Human_2023
Level_3,Oligo_2,1966,3_Gabitto_MTG_Human_2023
Level_3,Lamp5_2,1853,3_Gabitto_MTG_Human_2023
Level_3,L6b_6,2234,3_Gabitto_MTG_Human_2023
Level_3,Sst_11,377,3_Gabitto_MTG_Human_2023
Level_3,Lamp5_Lhx6_1,2147,3_Gabitto_MTG_Human_2023
Level_3,Endo_1,7,3_Gabitto_MTG_Human_2023
Level_3,Lamp5_6,181,3_Gabitto_MTG_Human_2023
Level_3,L6 IT Car3_3,2406,3_Gabitto_MTG_Human_2023
Level_3,L6b_3,48,3_Gabitto_MTG_Human_2023
Level_3,L5 IT_3,1629,3_Gabitto_MTG_Human_2023
Level_3,L5/6 NP_2,1034,3_Gabitto_MTG_Human_2023
Level_3,L6b_1,140,3_Gabitto_MTG_Human_2023
Level_3,Sst_13,1651,3_Gabitto_MTG_Human_2023
Level_3,Vip_13,573,3_Gabitto_MTG_Human_2023
Level_3,Sncg_8,305,3_Gabitto_MTG_Human_2023
Level_3,Vip_2,686,3_Gabitto_MTG_Human_2023
Level_3,L5 IT_6,1699,3_Gabitto_MTG_Human_2023
Level_3,L6b_4,205,3_Gabitto_MTG_Human_2023
Level_3,L2/3 IT_7,540,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_3,535,3_Gabitto_MTG_Human_2023
Level_3,Vip_23,1040,3_Gabitto_MTG_Human_2023
Level_3,Pvalb_14,430,3_Gabitto_MTG_Human_2023
Level_3,Sst_3,1874,3_Gabitto_MTG_Human_2023
Level_3,Sst_2,367,3_Gabitto_MTG_Human_2023
Level_3,Sncg_6,242,3_Gabitto_MTG_Human_2023
Level_3,L5 ET_2,264,3_Gabitto_MTG_Human_2023
Level_3,Sst_25,1382,3_Gabitto_MTG_Human_2023
Level_3,Vip_6,268,3_Gabitto_MTG_Human_2023
